method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
ande,8100,behavior14,42,clean,0.9457891578315664,0.9469250759892502,0.9454232780267489,0.9457891578315664,0.004574857293021227,70.66988921165466
ande,8100,behavior14,42,random_padding:medium,0.10262052410482096,0.41400265545213366,0.12826926784370224,0.10262052410482096,0.06738026250971012,70.66988921165466
ande,8100,behavior14,42,random_delay:medium,0.9455891178235647,0.946666222595756,0.9452652727685393,0.9455891178235647,0.004589109367784555,70.66988921165466
ande,8100,behavior14,42,traffic_shaping:medium,0.9457891578315664,0.9469043278549257,0.9454180469924894,0.9457891578315664,0.004574932327713806,70.66988921165466
ande,8100,behavior14,42,combined:medium,0.09901980396079216,0.46727430489782,0.12576627801891463,0.09901980396079216,0.06729157505290592,70.66988921165466
resnet18,8100,behavior14,42,clean,0.9453890778155631,0.9441210503028473,0.943948127031585,0.9453890778155631,0.004678967150342903,77.51068472862244
resnet18,8100,behavior14,42,random_padding:medium,0.2510502100420084,0.41167533463059697,0.3011554809026525,0.2510502100420084,0.0633708168913065,77.51068472862244
resnet18,8100,behavior14,42,random_delay:medium,0.9453890778155631,0.9441210503028473,0.943948127031585,0.9453890778155631,0.004678967150342903,77.51068472862244
resnet18,8100,behavior14,42,traffic_shaping:medium,0.9453890778155631,0.9441210503028473,0.943948127031585,0.9453890778155631,0.004678967150342903,77.51068472862244
resnet18,8100,behavior14,42,combined:medium,0.2530506101220244,0.42334664974129793,0.3036736905373334,0.2530506101220244,0.06270601433491944,77.51068472862244
cnn1d,8100,behavior14,42,clean,0.9405881176235247,0.9363645214488919,0.9367248703838806,0.9405881176235247,0.005260914633616302,100.49636340141296
cnn1d,8100,behavior14,42,random_padding:medium,0.26785357071414284,0.338807178846599,0.15300579641023487,0.26785357071414284,0.0690978822896468,100.49636340141296
cnn1d,8100,behavior14,42,random_delay:medium,0.9405881176235247,0.9363645214488919,0.9367248703838806,0.9405881176235247,0.005260914633616302,100.49636340141296
cnn1d,8100,behavior14,42,traffic_shaping:medium,0.9405881176235247,0.9363645214488919,0.9367248703838806,0.9405881176235247,0.005260914633616302,100.49636340141296
cnn1d,8100,behavior14,42,combined:medium,0.26585317063412683,0.3683534039886244,0.15283896664330338,0.26585317063412683,0.06922428524775827,100.49636340141296
byte_tcn,8100,behavior14,42,clean,0.9567913582716543,0.9547820609804785,0.9531243646625946,0.9567913582716543,0.0035145998804092986,198.2656192779541
byte_tcn,8100,behavior14,42,random_padding:medium,0.8017603520704141,0.8630406640677196,0.814590472695359,0.8017603520704141,0.015966907283601738,198.2656192779541
byte_tcn,8100,behavior14,42,random_delay:medium,0.9567913582716543,0.9547820609804785,0.9531243646625946,0.9567913582716543,0.0035145998804092986,198.2656192779541
byte_tcn,8100,behavior14,42,traffic_shaping:medium,0.9567913582716543,0.9547820609804785,0.9531243646625946,0.9567913582716543,0.0035145998804092986,198.2656192779541
byte_tcn,8100,behavior14,42,combined:medium,0.8019603920784156,0.8627707870597192,0.8146684857156341,0.8019603920784156,0.015926659687262663,198.2656192779541
byte_tcn_fusion,8100,behavior14,42,clean,0.9525905181036207,0.9493421426450909,0.9478209753648448,0.9525905181036207,0.003944086532811133,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,random_padding:medium,0.8107621524304861,0.8632330659739613,0.8231220077238635,0.8107621524304861,0.015242335169018349,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,random_delay:medium,0.9525905181036207,0.9492943039032758,0.9478694129485291,0.9525905181036207,0.003937043936558337,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,traffic_shaping:medium,0.9523904780956192,0.9496496480149041,0.9476019840731271,0.9523904780956192,0.003970614377667094,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,combined:medium,0.8109621924384877,0.8666864609496868,0.8231556295035936,0.8109621924384877,0.015260703388700772,152.12103128433228
segment_attention_fusion,8100,behavior14,42,clean,0.9369873974794959,0.9365913717109128,0.9359851744592095,0.9369873974794959,0.005205213903035866,65.39699649810791
segment_attention_fusion,8100,behavior14,42,random_padding:medium,0.20684136827365474,0.5306163961134779,0.21611632025125768,0.20684136827365474,0.06178151440338806,65.39699649810791
segment_attention_fusion,8100,behavior14,42,random_delay:medium,0.9363872774554911,0.9359413290760711,0.9353959038858072,0.9363872774554911,0.005232075989883409,65.39699649810791
segment_attention_fusion,8100,behavior14,42,traffic_shaping:medium,0.9359871974394879,0.9356528650249025,0.9349675252790827,0.9359871974394879,0.005274242843837582,65.39699649810791
segment_attention_fusion,8100,behavior14,42,combined:medium,0.20164032806561313,0.5386370032258815,0.21259814345957728,0.2016403280656131,0.06217439610819591,65.39699649810791
