method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
ande,8100,behavior14,42,clean,0.9457891578315664,0.9469250759892502,0.9454232780267487,0.9457891578315664,0.0045748572930212,70.66988921165466
ande,8100,behavior14,42,random_padding:medium,0.1026205241048209,0.4140026554521336,0.1282692678437022,0.1026205241048209,0.0673802625097101,70.66988921165466
ande,8100,behavior14,42,random_delay:medium,0.9455891178235648,0.946666222595756,0.9452652727685392,0.9455891178235648,0.0045891093677845,70.66988921165466
ande,8100,behavior14,42,traffic_shaping:medium,0.9457891578315664,0.9469043278549256,0.9454180469924894,0.9457891578315664,0.0045749323277138,70.66988921165466
ande,8100,behavior14,42,combined:medium,0.0990198039607921,0.46727430489782,0.1257662780189146,0.0990198039607921,0.0672915750529059,70.66988921165466
resnet18,8100,behavior14,42,clean,0.9453890778155633,0.9441210503028472,0.943948127031585,0.9453890778155633,0.0046789671503429,77.51068472862244
resnet18,8100,behavior14,42,random_padding:medium,0.2510502100420084,0.4116753346305969,0.3011554809026525,0.2510502100420084,0.0633708168913065,77.51068472862244
resnet18,8100,behavior14,42,random_delay:medium,0.9453890778155633,0.9441210503028472,0.943948127031585,0.9453890778155633,0.0046789671503429,77.51068472862244
resnet18,8100,behavior14,42,traffic_shaping:medium,0.9453890778155633,0.9441210503028472,0.943948127031585,0.9453890778155633,0.0046789671503429,77.51068472862244
resnet18,8100,behavior14,42,combined:medium,0.2530506101220244,0.4233466497412979,0.3036736905373334,0.2530506101220244,0.0627060143349194,77.51068472862244
cnn1d,8100,behavior14,42,clean,0.9405881176235248,0.936364521448892,0.9367248703838806,0.9405881176235248,0.0052609146336163,100.49636340141296
cnn1d,8100,behavior14,42,random_padding:medium,0.2678535707141428,0.338807178846599,0.1530057964102348,0.2678535707141428,0.0690978822896468,100.49636340141296
cnn1d,8100,behavior14,42,random_delay:medium,0.9405881176235248,0.936364521448892,0.9367248703838806,0.9405881176235248,0.0052609146336163,100.49636340141296
cnn1d,8100,behavior14,42,traffic_shaping:medium,0.9405881176235248,0.936364521448892,0.9367248703838806,0.9405881176235248,0.0052609146336163,100.49636340141296
cnn1d,8100,behavior14,42,combined:medium,0.2658531706341268,0.3683534039886244,0.1528389666433033,0.2658531706341268,0.0692242852477582,100.49636340141296
byte_tcn,8100,behavior14,42,clean,0.9567913582716544,0.9547820609804784,0.9531243646625946,0.9567913582716544,0.0035145998804092,198.2656192779541
byte_tcn,8100,behavior14,42,random_padding:medium,0.8017603520704141,0.8630406640677196,0.814590472695359,0.8017603520704141,0.0159669072836017,198.2656192779541
byte_tcn,8100,behavior14,42,random_delay:medium,0.9567913582716544,0.9547820609804784,0.9531243646625946,0.9567913582716544,0.0035145998804092,198.2656192779541
byte_tcn,8100,behavior14,42,traffic_shaping:medium,0.9567913582716544,0.9547820609804784,0.9531243646625946,0.9567913582716544,0.0035145998804092,198.2656192779541
byte_tcn,8100,behavior14,42,combined:medium,0.8019603920784156,0.8627707870597192,0.8146684857156341,0.8019603920784156,0.0159266596872626,198.2656192779541
byte_tcn_fusion,8100,behavior14,42,clean,0.9525905181036208,0.9493421426450908,0.9478209753648448,0.9525905181036208,0.0039440865328111,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,random_padding:medium,0.8107621524304861,0.8632330659739613,0.8231220077238635,0.8107621524304861,0.0152423351690183,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,random_delay:medium,0.9525905181036208,0.9492943039032758,0.9478694129485292,0.9525905181036208,0.0039370439365583,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,traffic_shaping:medium,0.9523904780956192,0.949649648014904,0.9476019840731272,0.9523904780956192,0.003970614377667,152.12103128433228
byte_tcn_fusion,8100,behavior14,42,combined:medium,0.8109621924384877,0.8666864609496868,0.8231556295035936,0.8109621924384877,0.0152607033887007,152.12103128433228
segment_attention_fusion,8100,behavior14,42,clean,0.936987397479496,0.9365913717109128,0.9359851744592096,0.936987397479496,0.0052052139030358,65.39699649810791
segment_attention_fusion,8100,behavior14,42,random_padding:medium,0.2068413682736547,0.5306163961134779,0.2161163202512576,0.2068413682736547,0.061781514403388,65.39699649810791
segment_attention_fusion,8100,behavior14,42,random_delay:medium,0.9363872774554912,0.9359413290760712,0.9353959038858072,0.9363872774554912,0.0052320759898834,65.39699649810791
segment_attention_fusion,8100,behavior14,42,traffic_shaping:medium,0.935987197439488,0.9356528650249024,0.9349675252790828,0.935987197439488,0.0052742428438375,65.39699649810791
segment_attention_fusion,8100,behavior14,42,combined:medium,0.2016403280656131,0.5386370032258815,0.2125981434595772,0.2016403280656131,0.0621743961081959,65.39699649810791
segment_attention,8100,behavior14,42,clean,0.9363872774554912,0.9352548033954384,0.9328738358381656,0.9363872774554912,0.0056351967734973,42.73791480064392
segment_attention,8100,behavior14,42,random_padding:medium,0.1140228045609121,0.5086474880411492,0.1360015762830834,0.1140228045609121,0.0666082027466795,42.73791480064392
segment_attention,8100,behavior14,42,random_delay:medium,0.9363872774554912,0.9352548033954384,0.9328738358381656,0.9363872774554912,0.0056351967734973,42.73791480064392
segment_attention,8100,behavior14,42,traffic_shaping:medium,0.9363872774554912,0.9352548033954384,0.9328738358381656,0.9363872774554912,0.0056351967734973,42.73791480064392
segment_attention,8100,behavior14,42,combined:medium,0.1160232046409281,0.5264685615225418,0.1378134671411812,0.1160232046409281,0.0664110780047587,42.73791480064392
