method,size,task,seed,condition,accuracy,precision,f1,recall,fpr,train_seconds
ande,784,behavior14,42,clean,0.9419883976795359,0.9409360347556159,0.9412728857961827,0.9419883976795359,0.004796259680638378,95.22066712379456
ande,784,behavior14,42,random_padding:medium,0.07421484296859372,0.18008917480213915,0.05997971084085944,0.07421484296859372,0.07669054632393961,95.22066712379456
ande,784,behavior14,42,random_delay:medium,0.9419883976795359,0.9409360347556159,0.9412728857961827,0.9419883976795359,0.004796259680638378,95.22066712379456
ande,784,behavior14,42,traffic_shaping:medium,0.9417883576715343,0.9407561065245265,0.9410908853930561,0.9417883576715343,0.0048109267384265865,95.22066712379456
ande,784,behavior14,42,combined:medium,0.07561512302460492,0.11719024057326474,0.0598388680542471,0.07561512302460492,0.07658360627455651,95.22066712379456
ande,784,behavior14,43,clean,0.9415883176635327,0.9406315684648717,0.9408616472307021,0.9415883176635327,0.004765679002915091,106.3424346446991
ande,784,behavior14,43,random_padding:medium,0.15623124624924986,0.1706709799796916,0.09350200087520372,0.15623124624924986,0.07737992373831722,106.3424346446991
ande,784,behavior14,43,random_delay:medium,0.9417883576715343,0.940781343997739,0.941049563728517,0.9417883576715343,0.0047512838857388376,106.3424346446991
ande,784,behavior14,43,traffic_shaping:medium,0.9415883176635327,0.9406590871511498,0.94087765767165,0.9415883176635327,0.004765256988192555,106.3424346446991
ande,784,behavior14,43,combined:medium,0.15183036607321465,0.12293924316659657,0.09142046078141379,0.15183036607321465,0.07752600540578816,106.3424346446991
ande,784,behavior14,44,clean,0.9385877175435087,0.9376032074339096,0.9374184579718995,0.9385877175435087,0.005111809777094743,72.7023572921753
ande,784,behavior14,44,random_padding:medium,0.12162432486497299,0.32829068891297125,0.1494811181095364,0.12162432486497299,0.07262369789291757,72.7023572921753
ande,784,behavior14,44,random_delay:medium,0.9385877175435087,0.9376032074339096,0.9374184579718995,0.9385877175435087,0.005111809777094743,72.7023572921753
ande,784,behavior14,44,traffic_shaping:medium,0.9385877175435087,0.9376032074339096,0.9374184579718995,0.9385877175435087,0.005111809777094743,72.7023572921753
ande,784,behavior14,44,combined:medium,0.12022404480896179,0.32633437812288435,0.14559704060408135,0.12022404480896179,0.0724911140843473,72.7023572921753
ande,4096,behavior14,42,clean,0.9461892378475695,0.9454105364914241,0.9454539612929583,0.9461892378475695,0.0045400210067870215,116.29228949546814
ande,4096,behavior14,42,random_padding:medium,0.1970394078815763,0.4178878712126186,0.17625620042462906,0.1970394078815763,0.06657080955785079,116.29228949546814
ande,4096,behavior14,42,random_delay:medium,0.9461892378475695,0.9453195418309619,0.9454323589489101,0.9461892378475695,0.004539851579911171,116.29228949546814
ande,4096,behavior14,42,traffic_shaping:medium,0.9459891978395679,0.945229206101411,0.9452696741673137,0.9459891978395679,0.004554688064575229,116.29228949546814
ande,4096,behavior14,42,combined:medium,0.19683936787357473,0.41965363297978653,0.1754129994587618,0.19683936787357473,0.06655851458513676,116.29228949546814
ande,4096,behavior14,43,clean,0.9435887177435487,0.9438062361409397,0.943328440925153,0.9435887177435487,0.004564751301004511,68.82039713859558
ande,4096,behavior14,43,random_padding:medium,0.1384276855371074,0.09490417154050688,0.10745832643424093,0.1384276855371074,0.07125675104802401,68.82039713859558
ande,4096,behavior14,43,random_delay:medium,0.9435887177435487,0.9438062361409397,0.943328440925153,0.9435887177435487,0.004564751301004511,68.82039713859558
ande,4096,behavior14,43,traffic_shaping:medium,0.9429885977195439,0.9433197428210126,0.9428027116744546,0.9429885977195439,0.004597185958305272,68.82039713859558
ande,4096,behavior14,43,combined:medium,0.14682936587317463,0.1082535840371825,0.11480286698950329,0.14682936587317463,0.07027121001243529,68.82039713859558
ande,4096,behavior14,44,clean,0.9443888777755551,0.9431816302154458,0.943217091472288,0.9443888777755551,0.004723513169805342,85.78756928443909
ande,4096,behavior14,44,random_padding:medium,0.14962992598519703,0.3519631530812901,0.16506737581947015,0.14962992598519703,0.06947266754353854,85.78756928443909
ande,4096,behavior14,44,random_delay:medium,0.9443888777755551,0.9431816302154458,0.943217091472288,0.9443888777755551,0.004723513169805342,85.78756928443909
ande,4096,behavior14,44,traffic_shaping:medium,0.9439887977595519,0.9428939895566847,0.9428489180068755,0.9439887977595519,0.004753893870397345,85.78756928443909
ande,4096,behavior14,44,combined:medium,0.15743148629725945,0.38231200260218773,0.17194358707316693,0.15743148629725945,0.06821976476075702,85.78756928443909
ande,8100,behavior14,42,clean,0.9457891578315664,0.9469250759892502,0.9454232780267489,0.9457891578315664,0.004574857293021227,70.66988921165466
ande,8100,behavior14,42,random_padding:medium,0.10262052410482096,0.41400265545213366,0.12826926784370224,0.10262052410482096,0.06738026250971012,70.66988921165466
ande,8100,behavior14,42,random_delay:medium,0.9455891178235647,0.946666222595756,0.9452652727685393,0.9455891178235647,0.004589109367784555,70.66988921165466
ande,8100,behavior14,42,traffic_shaping:medium,0.9457891578315664,0.9469043278549257,0.9454180469924894,0.9457891578315664,0.004574932327713806,70.66988921165466
ande,8100,behavior14,42,combined:medium,0.09901980396079216,0.46727430489782,0.12576627801891463,0.09901980396079216,0.06729157505290592,70.66988921165466
ande,8100,behavior14,43,clean,0.9421884376875375,0.9418742467531501,0.9409814119204362,0.9421884376875375,0.004734455760771535,71.38789749145508
ande,8100,behavior14,43,random_padding:medium,0.05521104220844169,0.5224583854374507,0.06060226042302501,0.05521104220844169,0.06937739025757793,71.38789749145508
ande,8100,behavior14,43,random_delay:medium,0.9421884376875375,0.9418742467531501,0.9409814119204362,0.9421884376875375,0.004734455760771535,71.38789749145508
ande,8100,behavior14,43,traffic_shaping:medium,0.9421884376875375,0.9418742467531501,0.9409814119204362,0.9421884376875375,0.004734455760771535,71.38789749145508
ande,8100,behavior14,43,combined:medium,0.05781156231246249,0.5276884144536647,0.06616395513090058,0.05781156231246249,0.069162231062759,71.38789749145508
ande,8100,behavior14,44,clean,0.9447889577915584,0.9430159533801228,0.9423198137600639,0.9447889577915584,0.0047511135596963955,60.77367877960205
ande,8100,behavior14,44,random_padding:medium,0.0652130426085217,0.15728243495638522,0.08314606756558539,0.0652130426085217,0.06920777379583096,60.77367877960205
ande,8100,behavior14,44,random_delay:medium,0.9449889977995599,0.9431663405916333,0.9424463314419642,0.9449889977995599,0.004748590829198834,60.77367877960205
ande,8100,behavior14,44,traffic_shaping:medium,0.9445889177835567,0.9426961765272368,0.9420468509519515,0.9445889177835567,0.004765328260931591,60.77367877960205
ande,8100,behavior14,44,combined:medium,0.0680136027205441,0.39136307401759773,0.08777730895318903,0.0680136027205441,0.06887721393108438,60.77367877960205
byte_tcn,784,behavior14,42,clean,0.956991398279656,0.9576639978663151,0.9565705828218226,0.956991398279656,0.0035784279368766755,51.434486389160156
byte_tcn,784,behavior14,42,random_padding:medium,0.882376475295059,0.9030222442801435,0.8793963995864165,0.882376475295059,0.010477345188396572,51.434486389160156
byte_tcn,784,behavior14,42,random_delay:medium,0.956991398279656,0.9576639978663151,0.9565705828218226,0.956991398279656,0.0035784279368766755,51.434486389160156
byte_tcn,784,behavior14,42,traffic_shaping:medium,0.956991398279656,0.9576639978663151,0.9565705828218226,0.956991398279656,0.0035784279368766755,51.434486389160156
byte_tcn,784,behavior14,42,combined:medium,0.879375875175035,0.9004449756917247,0.8762287756710397,0.879375875175035,0.010766707867929258,51.434486389160156
byte_tcn,784,behavior14,43,clean,0.9521904380876175,0.9483567333313166,0.9499509080796615,0.9521904380876175,0.0039784881703381755,48.469038248062134
byte_tcn,784,behavior14,43,random_padding:medium,0.8097619523904781,0.8436949443669978,0.7961604447989892,0.8097619523904781,0.017585556900230247,48.469038248062134
byte_tcn,784,behavior14,43,random_delay:medium,0.9521904380876175,0.9483567333313166,0.9499509080796615,0.9521904380876175,0.0039784881703381755,48.469038248062134
byte_tcn,784,behavior14,43,traffic_shaping:medium,0.9521904380876175,0.9483567333313166,0.9499509080796615,0.9521904380876175,0.0039784881703381755,48.469038248062134
byte_tcn,784,behavior14,43,combined:medium,0.8083616723344669,0.8480559057753815,0.7965864512674059,0.8083616723344669,0.01766021446984119,48.469038248062134
byte_tcn,784,behavior14,44,clean,0.95499099819964,0.9538558930972724,0.9526773623467798,0.95499099819964,0.0036038102970186066,66.11937260627747
byte_tcn,784,behavior14,44,random_padding:medium,0.887377475495099,0.9018512290468376,0.8871049502199997,0.887377475495099,0.009608524439231936,66.11937260627747
byte_tcn,784,behavior14,44,random_delay:medium,0.95499099819964,0.9538558930972724,0.9526773623467798,0.95499099819964,0.0036038102970186066,66.11937260627747
byte_tcn,784,behavior14,44,traffic_shaping:medium,0.95499099819964,0.9538558930972724,0.9526773623467798,0.95499099819964,0.0036038102970186066,66.11937260627747
byte_tcn,784,behavior14,44,combined:medium,0.8881776355271054,0.8983307356799175,0.886435527546147,0.8881776355271054,0.0096244830148006,66.11937260627747
byte_tcn,4096,behavior14,42,clean,0.9543908781756352,0.9520903105526596,0.9504786453983288,0.9543908781756352,0.0039024825201667934,101.08035469055176
byte_tcn,4096,behavior14,42,random_padding:medium,0.9393878775755151,0.9405512036892928,0.9330204834999181,0.9393878775755151,0.005387360590016036,101.08035469055176
byte_tcn,4096,behavior14,42,random_delay:medium,0.9543908781756352,0.9520903105526596,0.9504786453983288,0.9543908781756352,0.0039024825201667934,101.08035469055176
byte_tcn,4096,behavior14,42,traffic_shaping:medium,0.9543908781756352,0.9520903105526596,0.9504786453983288,0.9543908781756352,0.0039024825201667934,101.08035469055176
byte_tcn,4096,behavior14,42,combined:medium,0.9397879575915183,0.9419136288012614,0.9334583960792819,0.9397879575915183,0.005353095648147987,101.08035469055176
byte_tcn,4096,behavior14,43,clean,0.9517903580716143,0.9541838969173089,0.9489692597175039,0.9517903580716143,0.003773033766493142,75.31263089179993
byte_tcn,4096,behavior14,43,random_padding:medium,0.9425885177035407,0.9477233301997358,0.9402835201767554,0.9425885177035407,0.004655448261251296,75.31263089179993
byte_tcn,4096,behavior14,43,random_delay:medium,0.9517903580716143,0.9541838969173089,0.9489692597175039,0.9517903580716143,0.003773033766493142,75.31263089179993
byte_tcn,4096,behavior14,43,traffic_shaping:medium,0.9517903580716143,0.9541838969173089,0.9489692597175039,0.9517903580716143,0.003773033766493142,75.31263089179993
byte_tcn,4096,behavior14,43,combined:medium,0.9417883576715343,0.9455430572206065,0.9393434279087006,0.9417883576715343,0.004746779399650119,75.31263089179993
byte_tcn,4096,behavior14,44,clean,0.9537907581516303,0.9523783898828829,0.9483649973681114,0.9537907581516303,0.0037382824229829567,74.49560189247131
byte_tcn,4096,behavior14,44,random_padding:medium,0.9427885577115424,0.9424899298902365,0.9379282402875782,0.9427885577115424,0.004748995161592604,74.49560189247131
byte_tcn,4096,behavior14,44,random_delay:medium,0.9537907581516303,0.9523783898828829,0.9483649973681114,0.9537907581516303,0.0037382824229829567,74.49560189247131
byte_tcn,4096,behavior14,44,traffic_shaping:medium,0.9537907581516303,0.9523783898828829,0.9483649973681114,0.9537907581516303,0.0037382824229829567,74.49560189247131
byte_tcn,4096,behavior14,44,combined:medium,0.9433886777355471,0.942764549170838,0.9382973555975401,0.9433886777355471,0.00470442529678989,74.49560189247131
byte_tcn,8100,behavior14,42,clean,0.9567913582716543,0.9547820609804785,0.9531243646625946,0.9567913582716543,0.0035145998804092986,198.2656192779541
byte_tcn,8100,behavior14,42,random_padding:medium,0.8017603520704141,0.8630406640677196,0.814590472695359,0.8017603520704141,0.015966907283601738,198.2656192779541
byte_tcn,8100,behavior14,42,random_delay:medium,0.9567913582716543,0.9547820609804785,0.9531243646625946,0.9567913582716543,0.0035145998804092986,198.2656192779541
byte_tcn,8100,behavior14,42,traffic_shaping:medium,0.9567913582716543,0.9547820609804785,0.9531243646625946,0.9567913582716543,0.0035145998804092986,198.2656192779541
byte_tcn,8100,behavior14,42,combined:medium,0.8019603920784156,0.8627707870597192,0.8146684857156341,0.8019603920784156,0.015926659687262663,198.2656192779541
byte_tcn,8100,behavior14,43,clean,0.9545909181836367,0.9520165874413373,0.9510023198962728,0.9545909181836367,0.0036118998197298617,139.36606526374817
byte_tcn,8100,behavior14,43,random_padding:medium,0.8161632326465293,0.9013644235032829,0.8403058328020543,0.8161632326465293,0.014352489609964159,139.36606526374817
byte_tcn,8100,behavior14,43,random_delay:medium,0.9545909181836367,0.9520165874413373,0.9510023198962728,0.9545909181836367,0.0036118998197298617,139.36606526374817
byte_tcn,8100,behavior14,43,traffic_shaping:medium,0.9545909181836367,0.9520165874413373,0.9510023198962728,0.9545909181836367,0.0036118998197298617,139.36606526374817
byte_tcn,8100,behavior14,43,combined:medium,0.8167633526705341,0.9011817046896319,0.8407855912321606,0.8167633526705341,0.014274485527535477,139.36606526374817
byte_tcn,8100,behavior14,44,clean,0.9565913182636527,0.9557845095892893,0.9545248443059601,0.9565913182636527,0.003521756302341638,232.134831905365
byte_tcn,8100,behavior14,44,random_padding:medium,0.7885577115423085,0.8897887312053241,0.812856343731353,0.7885577115423085,0.016121268545931097,232.134831905365
byte_tcn,8100,behavior14,44,random_delay:medium,0.9565913182636527,0.9557845095892893,0.9545248443059601,0.9565913182636527,0.003521756302341638,232.134831905365
byte_tcn,8100,behavior14,44,traffic_shaping:medium,0.9565913182636527,0.9557845095892893,0.9545248443059601,0.9565913182636527,0.003521756302341638,232.134831905365
byte_tcn,8100,behavior14,44,combined:medium,0.7879575915183037,0.8901854883477935,0.8120622718605695,0.7879575915183037,0.01618814343323448,232.134831905365
byte_tcn_fusion,784,behavior14,42,clean,0.9547909581916383,0.9546327849825581,0.9544024001824694,0.9547909581916383,0.003621177581159562,71.53777885437012
byte_tcn_fusion,784,behavior14,42,random_padding:medium,0.8399679935987198,0.8760843995737421,0.84535750567801,0.8399679935987198,0.01380719180977778,71.53777885437012
