method,size,task,seed,accuracy,precision,f1,recall,fpr
ande,4096.0,behavior14,42,0.9891663606316563,0.9891063816043126,0.9890447103397192,0.9891663606316563,0.0009075524100683564
ande,4096.0,binary2,42,0.9989900844656628,0.99899097516174,0.9989904889825192,0.9989900844656628,0.00454284974859509
ande,784.0,behavior14,42,0.9899926551597503,0.9899541107760162,0.9899278465012482,0.9899926551597503,0.0008550180519601693
ande,784.0,binary2,42,0.9996327579875137,0.999632498091797,0.999632462993529,0.9996327579875137,0.002599545252883762
ande,8100.0,behavior14,42,0.9928387807565185,0.9930445217226043,0.992845091856858,0.9928387807565185,0.0005388674622656421
ande,8100.0,behavior14,42,0.9897172236503856,0.989773677411881,0.9896096905542958,0.9897172236503856,0.000837688283982489
ande,8100.0,behavior14,42,0.9897172236503856,0.989773677411881,0.9896096905542958,0.9897172236503856,0.000837688283982489
ande,8100.0,binary2,42,0.999173705471906,0.9991764215159024,0.9991746965847318,0.999173705471906,0.0028421694764862466
ande_no_se,4096.0,behavior14,42,0.9908189496878443,0.9909219637442293,0.9907724028409015,0.9908189496878443,0.0007664034975412455
ande_no_se,4096.0,binary2,42,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.9987146529562982,0.00629205486542443
ande_no_se,784.0,behavior14,42,0.9905435181784796,0.9905406675385607,0.9904657354317442,0.9905435181784796,0.0007622941990780418
ande_no_se,784.0,binary2,42,0.999173705471906,0.9991724423827585,0.9991720416082867,0.999173705471906,0.006049430641821946
ande_no_se,8100.0,behavior14,42,0.9916452442159382,0.9917864650184399,0.9916269417786688,0.9916452442159382,0.0006747332383686239
ande_no_se,8100.0,binary2,42,0.999173705471906,0.9991724533392,0.9991727089642533,0.999173705471906,0.005247615350488021
cnn1d,4096.0,behavior14,42,0.9535438854204921,0.951742430769784,0.9521904814284661,0.9535438854204921,0.004777534463360067
cnn1d,4096.0,binary2,42,0.9985310319500551,0.9985289988771963,0.9985298519741161,0.9985310319500551,0.007992735137533274
cnn1d,784.0,behavior14,42,0.952717590892398,0.950999206453442,0.9511954795068257,0.952717590892398,0.00480719833100489
cnn1d,784.0,binary2,42,0.9992655159750276,0.9992655159750276,0.9992655159750276,0.9992655159750276,0.0035954599230996745
cnn1d,8100.0,behavior14,42,0.9466580976863753,0.9444808681437101,0.9446575541014592,0.9466580976863753,0.00569756831879766
cnn1d,8100.0,binary2,42,0.9976129269188395,0.9976065440925465,0.9976090850350321,0.9976129269188395,0.013288875332741793
dt,4096.0,behavior14,42,0.9999081894968784,0.9999152518432723,0.9999095099175976,0.9999081894968784,6.565126050420168e-06
dt,4096.0,binary2,42,1.0,1.0,1.0,1.0,0.0
dt,784.0,behavior14,42,0.9999081894968784,0.9999152518432723,0.9999095099175976,0.9999081894968784,6.565126050420168e-06
dt,784.0,binary2,42,1.0,1.0,1.0,1.0,0.0
dt,8100.0,behavior14,42,0.9999081894968784,0.9999152518432723,0.9999095099175976,0.9999081894968784,6.565126050420168e-06
dt,8100.0,binary2,42,1.0,1.0,1.0,1.0,0.0
dt,,,0,1.0,1.0,1.0,1.0,0.0
resnet18,4096.0,behavior14,42,0.9565736320235035,0.9539279354643054,0.9549005071146054,0.9565736320235035,0.004238961149338412
resnet18,4096.0,binary2,42,0.998347410943812,0.9983420051248835,0.9983420720342863,0.998347410943812,0.011297045992309967
resnet18,784.0,behavior14,42,0.952533969886155,0.9508263984616755,0.9513842311284298,0.952533969886155,0.004507411747531216
resnet18,784.0,binary2,42,0.9982556004406904,0.9982495866123942,0.9982492547081905,0.9982556004406904,0.012147386128364388
resnet18,8100.0,behavior14,42,0.956665442526625,0.9547463341042519,0.9555167895213282,0.956665442526625,0.004043087395914178
resnet18,8100.0,binary2,42,0.9989900844656628,0.9989894585758499,0.9989864106205313,0.9989900844656628,0.008551926205264715
rf,4096.0,behavior14,42,1.0,1.0,1.0,1.0,0.0
rf,4096.0,binary2,42,1.0,1.0,1.0,1.0,0.0
rf,784.0,behavior14,42,1.0,1.0,1.0,1.0,0.0
rf,784.0,binary2,42,1.0,1.0,1.0,1.0,0.0
rf,8100.0,behavior14,42,1.0,1.0,1.0,1.0,0.0
rf,8100.0,binary2,42,1.0,1.0,1.0,1.0,0.0
xgb,4096.0,behavior14,42,1.0,1.0,1.0,1.0,0.0
xgb,4096.0,binary2,42,1.0,1.0,1.0,1.0,0.0
xgb,784.0,behavior14,42,1.0,1.0,1.0,1.0,0.0
xgb,784.0,binary2,42,1.0,1.0,1.0,1.0,0.0
xgb,8100.0,behavior14,42,1.0,1.0,1.0,1.0,0.0
xgb,8100.0,binary2,42,1.0,1.0,1.0,1.0,0.0
