method,size,task,seed,accuracy,precision,f1,recall,fpr
ande,4096,behavior14,42,0.9463892778555711,0.9445666143010285,0.9449452917003922,0.9463892778555711,0.004522534438439812
ande,4096,binary2,42,0.9965993198639728,0.9966343863342361,0.9966110752205379,0.9965993198639728,0.00685052480386757
ande,784,behavior14,42,0.9419883976795359,0.9409360347556159,0.9412728857961827,0.9419883976795359,0.004796259680638378
ande,784,binary2,42,0.9971994398879775,0.997214351868601,0.9972049923377424,0.9971994398879775,0.006520636965732535
ande,8100,behavior14,42,0.9457891578315664,0.9469250759892502,0.9454232780267489,0.9457891578315664,0.004574857293021227
ande,8100,binary2,42,0.9965993198639728,0.9965961673399918,0.9965976238271427,0.9965993198639728,0.010835453114082804
ande_no_se,4096,behavior14,42,0.9425885177035407,0.9423940323081105,0.939460868538108,0.9425885177035407,0.004887919880299098
ande_no_se,4096,binary2,42,0.9955991198239648,0.9956088143620885,0.9956034932688682,0.9955991198239648,0.012381498255195003
ande_no_se,784,behavior14,42,0.9351870374074815,0.9332595642972212,0.933231474135666,0.9351870374074815,0.005527813734872294
ande_no_se,784,binary2,42,0.996999399879976,0.996996646919514,0.9969979033768906,0.996999399879976,0.00961929581110564
ande_no_se,8100,behavior14,42,0.9485897179435887,0.9465639969091049,0.9468192939851628,0.9485897179435887,0.0043902115675937565
ande_no_se,8100,binary2,42,0.996999399879976,0.996996646919514,0.9969979033768906,0.996999399879976,0.00961929581110564
cnn1d,4096,behavior14,42,0.9437887577515504,0.9415444295182096,0.9414957322816263,0.9437887577515504,0.0051089815482656615
cnn1d,4096,binary2,42,0.9967993598719744,0.99680667478877,0.9968025405591767,0.9967993598719744,0.008733026346263509
cnn1d,784,behavior14,42,0.9439887977595519,0.941146594279777,0.9412752589750114,0.9439887977595519,0.004740523732566852
cnn1d,784,binary2,42,0.9993998799759952,0.9993995243966468,0.9993995806753782,0.9993998799759952,0.0023223519932426516
cnn1d,8100,behavior14,42,0.9405881176235247,0.9363645214488919,0.9367248703838806,0.9405881176235247,0.005260914633616302
cnn1d,8100,binary2,42,0.9943988797759552,0.9943657654141449,0.9943648946923114,0.9943988797759552,0.02300359470700316
dt,4096,behavior14,42,0.9219843968793758,0.9227583246092403,0.9221633095226351,0.9219843968793758,0.006766301460248091
dt,4096,binary2,42,0.99499899979996,0.9949861440508077,0.994991498663002,0.99499899979996,0.016696314403545274
dt,784,behavior14,42,0.9219843968793758,0.9227583246092403,0.9221633095226351,0.9219843968793758,0.006766301460248091
dt,784,binary2,42,0.99499899979996,0.9949861440508077,0.994991498663002,0.99499899979996,0.016696314403545274
dt,8100,behavior14,42,0.9219843968793758,0.9227583246092403,0.9221633095226351,0.9219843968793758,0.006766301460248091
dt,8100,binary2,42,0.99499899979996,0.9949861440508077,0.994991498663002,0.99499899979996,0.016696314403545274
resnet18,4096,behavior14,42,0.9457891578315664,0.9447340768556786,0.9450124677836222,0.9457891578315664,0.004520873651776567
resnet18,4096,binary2,42,0.9963992798559712,0.9963858255576314,0.9963847875988231,0.9963992798559712,0.014930344037009718
resnet18,784,behavior14,42,0.9391878375675135,0.9353352885662729,0.9367550246465812,0.9391878375675135,0.005125547221819168
resnet18,784,binary2,42,0.9965993198639728,0.996611584834379,0.9966043828149181,0.9965993198639728,0.008842988958975187
resnet18,8100,behavior14,42,0.9453890778155631,0.9441210503028473,0.943948127031585,0.9453890778155631,0.004678967150342903
resnet18,8100,binary2,42,0.9965993198639728,0.996591282817615,0.9965942190908413,0.9965993198639728,0.011831685191636613
rf,4096,behavior14,42,0.9407881576315263,0.9386481484208289,0.939016990436765,0.9407881576315263,0.005546917644799036
rf,4096,binary2,42,0.996999399879976,0.9969919497745799,0.9969857963879682,0.996999399879976,0.013604224121320875
rf,784,behavior14,42,0.9407881576315263,0.9386481484208289,0.939016990436765,0.9407881576315263,0.005546917644799036
rf,784,binary2,42,0.996999399879976,0.9969919497745799,0.9969857963879682,0.996999399879976,0.013604224121320875
rf,8100,behavior14,42,0.9407881576315263,0.9386481484208289,0.939016990436765,0.9407881576315263,0.005546917644799036
rf,8100,binary2,42,0.996999399879976,0.9969919497745799,0.9969857963879682,0.996999399879976,0.013604224121320875
xgb,4096,behavior14,42,0.9435887177435487,0.9420870666030008,0.9422895066170999,0.9435887177435487,0.005109064445883201
xgb,4096,binary2,42,0.9983996799359872,0.9983971627172219,0.9983964754651913,0.9983996799359872,0.006857093367016277
xgb,784,behavior14,42,0.9435887177435487,0.9420870666030008,0.9422895066170999,0.9435887177435487,0.005109064445883201
xgb,784,binary2,42,0.9983996799359872,0.9983971627172219,0.9983964754651913,0.9983996799359872,0.006857093367016277
xgb,8100,behavior14,42,0.9435887177435487,0.9420870666030008,0.9422895066170999,0.9435887177435487,0.005109064445883201
xgb,8100,binary2,42,0.9983996799359872,0.9983971627172219,0.9983964754651913,0.9983996799359872,0.006857093367016277
